,datetime,trade_volume,net_incr_volume,close
0,1.572192e+18,77451.0,-1338.0,6162.0
1,1.5722784e+18,81540.0,4856.0,6162.0
2,1.5723648e+18,111140.0,6237.0,6212.0
3,1.5724512e+18,107838.0,6120.0,6182.0
4,1.5725376e+18,97958.0,1721.0,6210.0
5,1.5727968e+18,134706.0,9325.0,6276.0
6,1.5728832e+18,200592.0,23057.0,6328.0
7,1.5729696e+18,162008.0,4545.0,6276.0
8,1.573056e+18,164473.0,-3665.0,6240.0
9,1.5731424e+18,140986.0,5822.0,6290.0
10,1.5734016e+18,210874.0,15233.0,6416.0
11,1.573488e+18,177514.0,7159.0,6364.0
12,1.5735744e+18,158871.0,18536.0,6310.0
13,1.5736608e+18,163081.0,9252.0,6284.0
14,1.5737472e+18,171858.0,8378.0,6234.0
15,1.5740064e+18,189073.0,29070.0,6296.0
16,1.5740928e+18,198942.0,5309.0,6302.0
17,1.5741792e+18,301154.0,29053.0,6394.0
18,1.5742656e+18,232348.0,15181.0,6378.0
19,1.574352e+18,195833.0,6178.0,6346.0
20,1.5746112e+18,247793.0,4345.0,6372.0
21,1.5746976e+18,469377.0,8064.0,6254.0
22,1.574784e+18,244929.0,9294.0,6222.0
23,1.5748704e+18,261637.0,11663.0,6214.0
24,1.5749568e+18,366773.0,10302.0,6294.0
25,1.575216e+18,433586.0,17516.0,6204.0
26,1.5753024e+18,401069.0,8524.0,6236.0
27,1.5753888e+18,409784.0,6699.0,6240.0
28,1.5754752e+18,408067.0,32016.0,6294.0
29,1.5755616e+18,513779.0,20841.0,6324.0
30,1.5758208e+18,571924.0,5696.0,6378.0
31,1.5759072e+18,551155.0,14176.0,6378.0
32,1.5759936e+18,403727.0,-8006.0,6324.0
33,1.57608e+18,419265.0,22070.0,6386.0
34,1.5761664e+18,930282.0,47706.0,6464.0
35,1.5764256e+18,699931.0,10708.0,6478.0
36,1.576512e+18,724654.0,45447.0,6586.0
37,1.5765984e+18,625173.0,-16803.0,6552.0
38,1.5766848e+18,726265.0,22187.0,6558.0
39,1.5767712e+18,673215.0,4788.0,6622.0
40,1.5770304e+18,575674.0,-13565.0,6578.0
41,1.5771168e+18,485044.0,-8952.0,6576.0
42,1.5772032e+18,300190.0,-8758.0,6568.0
43,1.5772896e+18,513198.0,18211.0,6606.0
44,1.577376e+18,696446.0,23650.0,6768.0
45,1.5776352e+18,471520.0,5747.0,6764.0
46,1.5777216e+18,624288.0,5945.0,6808.0
47,1.5778944e+18,324793.0,-16560.0,6800.0
48,1.5779808e+18,638026.0,2477.0,6812.0
49,1.57824e+18,369525.0,-3029.0,6870.0
